,Post,Caption,Date,likes,id_father,id_child,username;
"0,B166OkVBPJR,Que les haga un tema @almightytgc,""Nov 2, 2020"",0,17904438601562259,,kevin23d";
"1,B166OkVBPJR,Love you,""Nov 20, 2020"",0,17873509682043166,,singardeepakjaiswal";
"2,B166OkVBPJR,@ocampo_juanc,""Nov 25, 2020"",0,17860490180287775,,_the_real_izzy";
"3,B166OkVBPJR,🔥👍💣,""Nov 28, 2020"",0,17861528684260731,,siforov";
"4,B166OkVBPJR,@paniagua_ambar21,""Dec 1, 2020"",0,17895562402713265,,leeon_mod3l";
"5,B166OkVBPJR,@laurabfs não me convence,""Dec 10, 2020"",0,17855135270347207,17887788109814649,felipe_moscatelly";
"6,B166OkVBPJR,@felipe_moscatelly,""Dec 10, 2020"",0,17855135270347207,,laurabfs";
"7,B166OkVBPJR,Akkakaak,""Dec 10, 2020"",1,17896714804690092,,felipe_moscatelly";
"8,B166OkVBPJR,@tiffany_goldie scaryyy,""Dec 11, 2020"",0,17891431489780078,18177897763049895,tiffany_goldie";
"9,B166OkVBPJR,@kayla_smith7428 I have no clue what is going on,""Jan 3, 2021"",0,17891431489780078,17856677447409167,folshed";
"10,B166OkVBPJR,@folshed they are just driving fast 🤣,""Jan 5, 2021"",1,17891431489780078,17856612410380891,kayla_smith7428";
"11,B166OkVBPJR,@tiffany_goldie she hates it 😂😂😂,""Dec 11, 2020"",0,17891431489780078,,kayla_smith7428";
"12,B166OkVBPJR,Wow 🤩  💪🏻😎!,""Dec 11, 2020"",0,18041715847284465,,atlasfitnessclub_ct";
"13,B166OkVBPJR,@gotdoughhhh_ always tryna kill me,""Dec 12, 2020"",0,17867474096180200,17857226288320020,k.streeet";
"14,B166OkVBPJR,@k.streeet,""Dec 12, 2020"",1,17867474096180200,,gotdoughhhh_";
"15,B166OkVBPJR,@preet829,""Dec 13, 2020"",0,18179045488043592,,tinanotfey";
"16,B166OkVBPJR,Make sure you wear a crop top with a flannel over it. lolololol. #tesla #garbage,""Dec 14, 2020"",0,17871932210073061,,markmywordz420";
"17,B166OkVBPJR,@vague_canvas bro Fr and it ain’t even da Dual Motor 😳,""Dec 15, 2020"",1,17864978561191109,17853857192383868,smasonnn";
"18,B166OkVBPJR,@smasonnn can’t stop doing it,""Dec 14, 2020"",1,17864978561191109,,vague_canvas";
"19,B166OkVBPJR,@lenegjostein,""Dec 19, 2020"",0,17889336583813688,,oklanden";
"20,B166OkVBPJR,Haha @jeffsroger :),""Dec 19, 2020"",0,17888087239856264,,arobbins12";
"21,B166OkVBPJR,@_lennonjane_,""Jan 5, 2021"",0,17882876957000525,,jeremy3carter";
"22,B166OkVBPJR,@__sarahhhhhhhh,""Jan 5, 2021"",0,17880920537025186,,jeremy3carter";
"23,B166OkVBPJR,@hannahcurtis01 @mattcurtis01,""Jan 5, 2021"",1,18092132956217137,,jeremy3carter";
"24,B166OkVBPJR,@makadamianut_96,""Jan 5, 2021"",1,18183123100039354,,jeremy3carter";
"25,B166OkVBPJR,@nathalyvvasquez,""Jan 5, 2021"",0,17851014272481675,,jeremy3carter";
"26,B166OkVBPJR,@emilyghardy,""Jan 6, 2021"",1,18151643557107661,,pushkidsoffbikes_";
"27,B166OkVBPJR,@manelbelha magicobus,""Jan 7, 2021"",1,17855583089471280,,lilcatu";
"28,B166OkVBPJR,👍👍👍👍,""Jan 10, 2021"",0,17869148036243173,,boss.2196";
"29,B166OkVBPJR,FREAK FREAKY FREAKSHOW 😉😉😉😉😉😉😉😉😉😉😉,""Jan 12, 2021"",0,18186318484001061,,soren_feistel";
"30,B166OkVBPJR,@angelvivaldiofficial it us ❤️,""Sep 5, 2020"",1,18117920410131135,17856635093149240,cermudezbonnie";
"31,B166OkVBPJR,@cermudezbonnie,""Sep 5, 2020"",1,18117920410131135,,angelvivaldiofficial";
"32,B166OkVBPJR,🔥,""Sep 14, 2020"",0,18162651871018924,,g_gregluis";
"33,B166OkVBPJR,@rihabsobh,""Sep 15, 2020"",0,17885931427697718,,nathan.kessinger";
"34,B166OkVBPJR,@victoriously13,""Sep 19, 2020"",0,18133638424107991,,eriikjung";
"35,B166OkVBPJR,@ra.fa.z,""Sep 28, 2020"",0,17854506806261527,,marcelzerbini";
"36,B166OkVBPJR,#xtina😍😍😍😍😍😍😍😍😍😍😍😍😍,""Oct 7, 2020"",0,17979824434311461,,losvegasoftime";
"37,B166OkVBPJR,🔥🔥🔥🔥,""Oct 14, 2020"",0,18137413690104928,,voxandoz";
"38,B166OkVBPJR,@fernanda.escareno 🤙🏼😎 así mero maestra,""Oct 23, 2020"",1,17845867163435029,17924199019455606,danielde.avila";
"39,B166OkVBPJR,Jajaja asi hago mi cara cuando aceleras 🙊 @danielde.avila,""Oct 23, 2020"",0,17845867163435029,,fernanda.escareno";
"40,B166OkVBPJR,@vizzleforshizzle Orgi,""Oct 24, 2020"",0,17877153211927415,,valemoxito";
"41,B166OkVBPJR,@itbehiten us 😂😂😂,""Oct 25, 2020"",1,17878902286874903,,str8teneight";
"42,B166OkVBPJR,@marlenarenae,""Oct 28, 2020"",1,17912194963501155,,marlongallardo";
"43,B166OkVBPJR,@iamcardib,""Jul 14, 2020"",2,17919504010432738,,thnkcreatively";
"44,B166OkVBPJR,Ik that’s not cardi in the background,""Jul 18, 2020"",1,17848366193225134,,wake_upmypeople";
"45,B166OkVBPJR,""This happened to me in Boston, I did a drive test haha"",""Jul 22, 2020"",1,17880612262723532,,soloveomemes12";
"46,B166OkVBPJR,@gadija_tiry,""Jul 23, 2020"",0,17856932960102111,,mustafaaaaaa_tiry";
"47,B166OkVBPJR,@gokcekorpeoglu yeyyyy 😁👍🏻,""Aug 1, 2020"",1,17954096083353743,,ebrulette";
"48,B166OkVBPJR,@s_chabs6 c’est pour quand ?😂😂😂❤️,""Aug 12, 2020"",0,17882428468728350,,nass_ay";
"49,B166OkVBPJR,@santiagocedill0 respuesta,""Aug 15, 2020"",0,18158042992032619,17872500385880412,santiagocedill0";
"50,B166OkVBPJR,@santiagocedill0 respuesta 2,""Aug 15, 2020"",0,18158042992032619,17856042257151193,santiagocedill0";
"51,B166OkVBPJR,prueba sola,""Aug 15, 2020"",0,18158042992032619,,santiagocedill0";
"52,B166OkVBPJR,@mccaverinha,""Aug 15, 2020"",0,17883144544723125,,barais_r1an5";
"53,B166OkVBPJR,I found you here @radhika.wali,""Aug 16, 2020"",0,17886140251631557,,mayur__gupta";
"54,B166OkVBPJR,@shad3zofgray 👊🏾❤️,""Aug 20, 2020"",1,17896077124577631,,_osaze7";
"55,B166OkVBPJR,@aleixabrado yaas ✨,""Aug 29, 2020"",0,17900802034528690,17865023738026477,nataliacnbl";
"56,B166OkVBPJR,@nataliacnbl,""Aug 29, 2020"",1,17900802034528690,,aleixabrado";
"57,B166OkVBPJR,@robbbie__p 🙄🙄🙄 I lowkey love this ❤️,""Aug 31, 2020"",0,17880427867777415,17886898246676720,tessabooyens";
"58,B166OkVBPJR,@tessabooyens ❤️🔥🔥😂😂😍,""Aug 31, 2020"",0,17880427867777415,,robbbie__p";
"59,B166OkVBPJR,Not as fast as a tycan,""Sep 3, 2020"",0,17889547465630187,,thompson_g88";
"60,B166OkVBPJR,💕💕😅,""Jun 17, 2020"",0,17892334054547884,,curvy.curvin";
"61,B166OkVBPJR,@jcoravitz,""Jun 22, 2020"",0,17877903169717378,,julia.oravitz";
"62,B166OkVBPJR,@julia.oravitz the besssst! Punch it!,""Jun 22, 2020"",1,18105352162182922,18033718246269612,lococodamato";
"63,B166OkVBPJR,@lococodamato 😂,""Jun 22, 2020"",0,18105352162182922,,julia.oravitz";
"64,B166OkVBPJR,@zoom_m3p 😂,""Jun 22, 2020"",0,17844276128218627,17906572915460002,xochibabyx3";
"65,B166OkVBPJR,@xochibabyx3,""Jun 22, 2020"",1,17844276128218627,,zoom_m3p";
"66,B166OkVBPJR,👏👏👏,""Jun 25, 2020"",0,17856354098027460,,majorantzsolt";
"67,B166OkVBPJR,@nath_frank_mack,""Jun 26, 2020"",1,17868296869852941,,ash.pat.88";
"68,B166OkVBPJR,@harrysandersseo haha those feels,""Jun 27, 2020"",0,17865805429874863,,bigstang";
"69,B166OkVBPJR,@gabriella_mammana é o modelo do seu noivo?,""Jun 28, 2020"",1,17847475739182567,17864019652898821,gokarolina";
"70,B166OkVBPJR,@gabriella_mammana prueba,""Aug 15, 2020"",0,17847475739182567,18157857289018153,santiagocedill0";
"71,B166OkVBPJR,@gokarolina,""Jun 28, 2020"",1,17847475739182567,,gabriella_mammana";
"72,B166OkVBPJR,@jigaar LMAAAO 👀👀😂,""Jul 1, 2020"",0,17905319134478666,18060037165235088,tani_";
"73,B166OkVBPJR,@tani_ prueba respuesta,""Aug 15, 2020"",1,17905319134478666,17855310782127218,santiagocedill0";
"74,B166OkVBPJR,@tani_,""Jul 1, 2020"",1,17905319134478666,,jigaar";
"75,B166OkVBPJR,@daniel.dvh wel waar ja 😱,""Jul 2, 2020"",0,17951823604345545,18149872174023436,olga_sophie_b";
"76,B166OkVBPJR,@olga_sophie_b 😜,""Jul 2, 2020"",0,17951823604345545,,daniel.dvh";
"77,B166OkVBPJR,Haha 😆,""Jul 12, 2020"",0,18145048408071332,,martinsmida";
"78,B166OkVBPJR,🔥👏🏽,""Jul 13, 2020"",0,17881306279670882,,carofortunaok";
"79,B166OkVBPJR,pharaka kiwa,""May 26, 2020"",0,17876448451668142,,purple_xenie";
"80,B166OkVBPJR,Those induction motors have a lot of torque,""May 27, 2020"",0,17996528947295039,,jimmyjamoco";
"81,B166OkVBPJR,@alaxwoody us today 😂,""May 28, 2020"",0,17874055888724168,,lshookz";
"82,B166OkVBPJR,@xuewei__huang this is definitely me🤣 ( forever),""May 28, 2020"",1,17929044484376935,17858430148960572,lowkeysavvvvv";
"83,B166OkVBPJR,@lowkeysavvvvv,""May 28, 2020"",0,17929044484376935,,chewy__huang";
"84,B166OkVBPJR,@sanjog_chhabra A Lot's of PEOPLE... 👑,""Jun 8, 2020"",1,17879384512643256,17954892268333770,iamvinay_vs";
"85,B166OkVBPJR,tesla🇮🇳🇮🇳 who wants hit like🙂,""Jun 4, 2020"",2,17879384512643256,,sanjog_chhabra";
"86,B166OkVBPJR,@allmumstalk 😅,""Jun 4, 2020"",0,17848561001127835,,alldadstalk";
"87,B166OkVBPJR,forehead,""Jun 11, 2020"",0,17887997413569123,,_zrobenz";
"88,B166OkVBPJR,@la.mikiii,""Jun 13, 2020"",1,18146990524033295,,holyt0ria";
"89,B166OkVBPJR,@slyzerxlive 🤣🤣🤣,""Jun 14, 2020"",0,18107948302086832,17858009036003482,abigailmo123love";
"90,B166OkVBPJR,@abigailmo123love,""Jun 14, 2020"",0,18107948302086832,,slyzerxlive";
"91,B166OkVBPJR,@filiprocksen :D,""Jun 14, 2020"",0,17894807206514757,17865372598861145,svenpunktcom";
"92,B166OkVBPJR,@svenpunktcom,""Jun 14, 2020"",0,17894807206514757,,filiprocksen";
"93,B166OkVBPJR,@reneedepaulaa,""Jun 14, 2020"",0,17900777425478046,,filiprocksen";
"94,B166OkVBPJR,@free6630,""Jun 15, 2020"",0,17882505616616719,,alimk1iran";
"95,B166OkVBPJR,I can't wait to get one,""May 1, 2020"",0,17844187616135601,,thejasminedavis";
"96,B166OkVBPJR,Pure ecstacy! He just sealed the date.🔥🔥🔥,""May 2, 2020"",0,17844455645126192,,investment_711";
"97,B166OkVBPJR,Awwww... That looks like me and wifey type of love lol follow the Team for AUTHENTIC Videos 🧡🙌🏼,""May 5, 2020"",0,18099254206156780,,the_freem_team";
"98,B166OkVBPJR,@teslamotors,""May 5, 2020"",0,17856205255920715,,the_freem_team";
"99,B166OkVBPJR,@the.only.patel hahaha I squirm way more 😂😂,""May 5, 2020"",0,17914180435412073,17874847054657196,alishap15";
"100,B166OkVBPJR,@alishap15,""May 5, 2020"",1,17914180435412073,,the.only.patel";
"101,B166OkVBPJR,😂,""May 6, 2020"",0,18103456732084135,,sheyda_star";
"102,B166OkVBPJR,Thanks to all the engineers working behind @teslamotors.,""May 9, 2020"",0,17882815879586144,,parth_xv";
"103,B166OkVBPJR,@marwanthephidelt HAHAHA 😒,""May 12, 2020"",1,17883186244572312,17861914372878563,andrewgoot";
"104,B166OkVBPJR,@andrewgoot I think he hates me for it tbh,""May 12, 2020"",0,17883186244572312,,marwanthephidelt";
"105,B166OkVBPJR,@petertriminator 😂 The Tesla was hilarious haha 👌I swear you dented my head with my phone when you hit ludicrous + 😂,""May 18, 2020"",0,17846232218121164,17936294356371505,mrs_kat_pearce";
"106,B166OkVBPJR,@mrs_kat_pearce remember doing this?,""May 18, 2020"",1,17846232218121164,,petertriminator";
"107,B166OkVBPJR,What is he doing to her?,""May 20, 2020"",1,17857955422907110,,goldpageg";
"108,B166OkVBPJR,@icy_hennessey 😕👍,""May 21, 2020"",1,18147782965022171,17941118215361038,footballbaztv";
"109,B166OkVBPJR,@footballbaztv,""May 21, 2020"",1,18147782965022171,,icy_hennessey";
"110,B166OkVBPJR,@paulthepilot3 🤣🤣🤣🤣🤣,""May 25, 2020"",0,17995846702292842,17848419236111081,missvera.ig";
"111,B166OkVBPJR,@lupita_briganti @missvera.ig @notcolin938,""May 25, 2020"",2,17995846702292842,,paulthepilot3";
"112,B166OkVBPJR,@benko66992 😂,""Mar 6, 2020"",0,18054655126208301,17891799394473575,wisko5";
"113,B166OkVBPJR,@wisko5 😂,""Mar 5, 2020"",0,18054655126208301,,benko66992";
"114,B166OkVBPJR,@veronikahfx,""Mar 5, 2020"",0,17885014990501143,,coderreg";
"115,B166OkVBPJR,This was you today 😂😂 @amanda_bezak,""Mar 6, 2020"",2,18054703708213240,,jessicabezak";
"116,B166OkVBPJR,@schmittastic 😂,""Mar 9, 2020"",1,17963749090305667,,thevincenzolandino";
"117,B166OkVBPJR,""@karen.a.va see, you’re supposed to laugh 😉😘❤️"",""Apr 3, 2020"",1,17850640459951211,,moregonevans";
"118,B166OkVBPJR,@cmadrazom hahahaha la cabeza,""Apr 4, 2020"",0,17966584564307469,17868540193716482,sofivallejo";
"119,B166OkVBPJR,@sofivallejo,""Apr 4, 2020"",0,17966584564307469,,cmadrazom";
"120,B166OkVBPJR,@a_abdulmutaleb @ashraf687,""Apr 6, 2020"",2,17909512864427219,,ali_bokhamseen";
"121,B166OkVBPJR,Is it me or he looks like Aldrich killian,""Apr 11, 2020"",1,17861913067781880,,sahilalright";
"122,B166OkVBPJR,Crazy fast acceleration cannot get old.,""Apr 15, 2020"",1,17879875696572588,,millenniumcreek";
"123,B166OkVBPJR,Im done. 🔥 so is she,""Apr 19, 2020"",0,17890043383516935,,mynkryptdlife";
"124,B166OkVBPJR,Instant take off🚀✨,""Apr 30, 2020"",0,17872327276682001,,i.a.m_jordan";
"125,B166OkVBPJR,@andrew_rios_ Lmaoo literally never gets old,""Jan 17, 2020"",1,17862410113639238,17850380680835929,scottbrackenn";
"126,B166OkVBPJR,@scottbrackenn,""Jan 17, 2020"",0,17862410113639238,,andrew_rios_";
"127,B166OkVBPJR,What speed made her top come undone?,""Jan 20, 2020"",5,17861640493651730,,jay.liptak";
"128,B166OkVBPJR,That’s too cute❤️,""Jan 23, 2020"",0,17948495065311490,,j_o_e_y_s_";
"129,B166OkVBPJR,@christinehiidalgo,""Jan 23, 2020"",1,17848394110878896,,jvh13m";
"130,B166OkVBPJR,@kristinmathisen 😁,""Jan 24, 2020"",0,17850967603840101,,tnymoen";
"131,B166OkVBPJR,This is us. 😂 @drewskee808,""Jan 26, 2020"",1,17909463805395853,,kaimanalii";
"132,B166OkVBPJR,@zoe.yager TOTALLY! ❤️,""Feb 1, 2020"",0,18129953755045448,17863997569641636,tracy.yager";
"133,B166OkVBPJR,@tracy.yager,""Jan 31, 2020"",1,18129953755045448,,zoe.yager";
"134,B166OkVBPJR,@mnsang_ lmao those were my same reaction ! Plus the reaching for something to grab on the roof yet there was nothing 😅,""Feb 2, 2020"",1,17874493102529588,18093472000142137,lovemvo_";
"135,B166OkVBPJR,@_mchelle.v that’s why I thought of you after watching this LOL,""Feb 2, 2020"",1,17874493102529588,17845664716937312,mn.sang";
"136,B166OkVBPJR,@_mchelle.v,""Feb 2, 2020"",1,17874493102529588,,mn.sang";
"137,B166OkVBPJR,@yoskayt esto se llama rompenucas😂😂😂❤,""Feb 9, 2020"",1,17854451713787386,18022206166257979,adrii._.01";
"138,B166OkVBPJR,@adrii._.01 tal cual 😂😂,""Feb 9, 2020"",1,17854451713787386,17924948605367755,yoskayt";
"139,B166OkVBPJR,@adrii._.01,""Feb 9, 2020"",2,17854451713787386,,yoskayt";
"140,B166OkVBPJR,Hahaha!! Love it!,""Feb 12, 2020"",0,17846814154932999,,elyod3";
"141,B166OkVBPJR,Top,""Feb 20, 2020"",0,18130106176014570,,steelframeconect";
"142,B166OkVBPJR,🤣,""Feb 21, 2020"",0,17945729191325117,,soldiers_voice";
"143,B166OkVBPJR,@chrischaidez123 youuuu.,""Feb 27, 2020"",0,18095670568184983,,_sayravanessa";
"144,B166OkVBPJR,@jessswan 😂,""Dec 11, 2019"",1,17880341272479392,,mechani.cal";
"145,B166OkVBPJR,@kristinev.gallegos 😘😘😘,""Dec 12, 2019"",0,17843982784855150,,ricardocross";
"146,B166OkVBPJR,@jamferco,""Dec 13, 2019"",0,17854561390717114,,felipemorales90";
"147,B166OkVBPJR,👌👌,""Dec 17, 2019"",0,17848306807768526,,benjaminrl_";
"148,B166OkVBPJR,@jamesshim87,""Dec 19, 2019"",0,18069190855169071,,tarims";
"149,B166OkVBPJR,@jwadope,""Dec 30, 2019"",0,18044958472222576,,wavesofbliss_soundtherapy";
"150,B166OkVBPJR,@dskang89,""Jan 1, 2020"",0,17865420745600584,,hoonyshinn";
"151,B166OkVBPJR,@marcelvanoasla,""Jan 9, 2020"",1,17854261339739504,,zelmagutierrezgonzales";
"152,B166OkVBPJR,@tweej101 oh hello,""Jan 11, 2020"",1,17861489488634240,18085103665181140,samholmes23";
"153,B166OkVBPJR,@samsammysambo this is me every time you do this! 😂,""Jan 11, 2020"",1,17861489488634240,17932254091342811,tweej101";
"154,B166OkVBPJR,@samsammysambo,""Jan 11, 2020"",1,17861489488634240,,tweej101";
"155,B166OkVBPJR,@bigdaddyvictoria,""Jan 12, 2020"",1,18116822974069081,,ffernando7777";
